x|y|output1_output2_output_n 
1|55|1_2_68_4_69_70_7_10_74_13_16_20_27_29_32_35_99_38_44_46_48_50_55_59_60_61
1|18|1_2_35_4_5_69_10_44_13_16_18_50_19_20_59_60_29_61
1|22|1_2_99_35_4_69_70_10_44_13_46_16_50_20_22_23_59_60_29_61
1|76|1_2_35_68_4_69_38_7_10_76_44_13_16_50_20_59_60_29_61
13|13|16_4_70_13_29_14_31
13|16|16_17_4_70_28_76_13_29_14_31
13|19|16_19_4_20_70_13_29_14_31
13|29|16_3_4_5_70_44_13_29_14_30_31
13|38|1_2_3_4_68_5_38_70_7_74_13_14_46_16_50_61_29_31
13|48|1_2_99_4_70_13_46_14_48_16_50_58_29_31
13|74|16_17_66_4_70_74_13_29_14_31
13|26|2_4_68_69_70_7_10_13_14_16_50_26_27_61_29_31
13|40|3_4_5_70_6_7_40_13_14_16_17_20_29_31
13|39|35_3_4_68_5_38_70_39_7_10_13_45_14_16_19_20_60_29_61_31
13|71|65_66_3_68_4_5_69_70_38_71_7_10_76_13_14_16_17_50_27_28_60_29_61_31
13|68|3_68_4_5_69_70_7_10_13_45_14_16_50_20_27_28_60_29_61_31
13|31|32_1_4_70_7_40_44_13_45_14_48_16_50_20_59_60_29_31
13|28|16_34_3_4_5_70_28_76_13_29_14_31
13|51|1_34_99_4_70_40_10_44_13_45_14_16_48_49_50_51_59_60_29_61_31
13|20|1_99_4_70_44_13_14_16_50_20_21_22_59_29_31
13|65|65_1_2_3_68_4_5_69_70_7_10_13_14_16_20_29_31_35_38_44_50_58_59_60_61
13|70|16_3_4_70_39_10_13_61_29_62_14_31
13|66|65_66_2_3_4_68_69_5_70_7_10_13_14_16_17_20_27_28_29_31_40_47_50_59_60_61
13|17|16_17_18_4_68_70_7_26_13_29_14_31
13|46|2_35_3_4_5_69_70_39_8_10_44_13_46_14_16_50_59_27_29_61_31
13|62|16_4_70_55_13_29_62_14_31
13|27|16_4_70_27_28_76_13_29_14_31
13|37|3_35_4_37_5_70_10_13_14_16_28_29_61_31
13|30|16_66_4_68_70_13_29_61_30_14_31
13|49|16_49_17_99_4_70_13_29_14_31_47
13|50|16_48_1_50_4_70_59_44_13_29_14_31
13|69|65_66_3_4_68_69_5_6_70_71_7_8_76_13_14_16_17_19_20_28_29_30_31_32_38_44_61
